LGA,productAccess,mhEducation,mhPractices,sanitationFacilities,ngoCoverage
Aba North,,,,,
Aba South,,,,,
Arochukwu,,,,,
Bende,,,,,
Ikwuano,,,,,
Isiala Ngwa North,,,,,
Isiala Ngwa South,,,,,
Isuikwuato,,,,,
Obi Ngwa,,,,,
Ohafia,,,,,
Osisioma,,,,,
Ugwunagbo,,,,,
Ukwa East,,,,,
Ukwa West,,,,,
Umuahia North,,41.3,,,
Umuahia South,,,,,
Umu Nneochi,,,,,
Demsa,,,,,
Fufure,,,,,
Ganye,,,,,
Gayuk,,,,,
Gombi,,,,,
Grie,,,,,
Hong,,,,,
Jada,,,,,
Lamurde,,,,,
Madagali,,,,,
Maiha,,,,,
Mayo Belwa,,,,,
Michika,,,,,
Mubi North,,,,,
Mubi South,,,,,
Numan,,,,,
Shelleng,,,,,
Song,,,,,
Toungo,,,,,
Yola North,,,,,
Yola South,,,,,
Abak,,,,,
Eastern Obolo,,,,,
Eket,,,,,
Esit Eket,,,,,
Essien Udim,,,,,
Etim Ekpo,,,,,
Etinan,,,,,
Ibeno,,,,,
Ibesikpo Asutan,,,,,
Ibiono-Ibom,,,,,
Ika,,,,,
Ikono,,,,,
Ikot Abasi,,,,,
Ikot Ekpene,,,,,
Ini,,,,,
Itu,,,,,
Mbo,,,,,
Mkpat-Enin,,,,,
Nsit-Atai,,,,,
Nsit-Ibom,,,,,
Nsit-Ubium,,,,,
Obot Akara,,,,,
Okobo,,,,,
Onna,,,,,
Oron,,,,,
Oruk Anam,,,,,
Udung-Uko,,,,,
Ukanafun,,,,,
Uruan,,,,,
Urue-Offong/Oruko,,,,,
Uyo,,,,,
Aguata,,,,,
Anambra East,,,,,
Anambra West,,,,,
Anaocha,,,,,
Awka North,,,,,
Awka South,,,,,
Ayamelum,,,,,
Dunukofia,,,,,
Ekwusigo,,,,,
Idemili North,,,,,
Idemili South,,,,,
Ihiala,,,,,
Njikoka,,,,,
Nnewi North,,,,,
Nnewi South,,,,,
Ogbaru,,,,,
Onitsha North,,,,,
Onitsha South,,,,,
Orumba North,,,,,
Orumba South,,,,,
Oyi,,,,,
Alkaleri,,,,,
Bauchi,,,,,
Bogoro,,,,,
Damban,,,,,
Darazo,,,,,
Dass,,,,,
Gamawa,,,,,
Ganjuwa,,,,,
Giade,,,,,
Itas/Gadau,,,,,
Jama'are,,,,,
Katagum,,,,,
Kirfi,,,,,
Misau,,,,,
Ningi,,,,,
Shira,,,,,
Tafawa Balewa,,,,,
Toro,,,,,
Warji,,,,,
Zaki,,,,,
Brass,,,,,
Ekeremor,,,,,
Kolokuma/Opokuma,,,,,
Nembe,,,,,
Ogbia,,,,,
Sagbama,,,,,
Southern Ijaw,46.4,45.5,,,
Yenagoa,,,,,
Agatu,,,,,
Apa,,,,,
Ado,,,,,
Buruku,,,,,
Gboko,,,,,
Guma,,,,,
Gwer East,,,,,
Gwer West,,,,,
Katsina-Ala,,,,,
Konshisha,,,,,
Kwande,,,,,
Logo,,,,,
Makurdi,10,,,,
Obi,,,,,
Ogbadibo,,,,,
Ohimini,,,,,
Oju,,,,,
Okpokwu,,,,,
Oturkpo,,,,,
Tarka,,,,,
Ukum,,,,,
Ushongo,,,,,
Vandeikya,,,,,
Abadam,,,,,
Askira/Uba,,,,,
Bama,,,,,
Bayo,,,,,
Biu,,,,,
Chibok,,,,,
Damboa,,,,,
Dikwa,,,,,
Gubio,,,,,
Guzamala,,,,,
Gwoza,,,,,
Hawul,,,,,
Jere,,,,,
Kaga,,,,,
Kala/Balge,,,,,
Konduga,,,,,
Kukawa,,,,,
Kwaya Kusar,,,,,
Mafa,,,,,
Magumeri,,,,,
Maiduguri,,,,,
Marte,,,,,
Mobbar,,,,,
Monguno,,,,,
Ngala,,,,,
Nganzai,,,,,
Shani,,,,,
Abi,,,,,
Akamkpa,,,,,
Akpabuyo,,,,,
Bakassi,,,,,
Bekwarra,,,,,
Biase,,,,,
Boki,,,,,
Calabar Municipal,,,,,
Calabar South,,,,,
Etung,,,,,
Ikom,,,,,
Obanliku,,,,,
Obubra,,,,,
Obudu,,,,,
Odukpani,,,,,
Ogoja,,,,,
Yakuur,,,,,
Yala,,,,,
Aniocha North,,,,,
Aniocha South,,,,,
Bomadi,,,,,
Burutu,,,,,
Ethiope East,,,,,
Ethiope West,,,,,
Ika North East,,,,,
Ika South,,,,,
Isoko North,,,,,
Isoko South,,,,,
Ndokwa East,,,,,
Ndokwa West,,,,,
Okpe,,,,,
Oshimili North,,,,,
Oshimili South,,,,,
Patani,,,,,
Sapele,,,,,
Udu,,,,,
Ughelli North,,,,,
Ughelli South,,,,,
Ukwuani,,,,,
Uvwie,,,,,
Warri North,,,,,
Warri South,,,,,
Warri South West,,,,,
Abakaliki,87.7,,,,
Afikpo North,,,,,
Afikpo South,,,,,
Ebonyi,87.7,,,,
Ezza North,,,,,
Ezza South,,,,,
Ikwo,,20.3,,,
Ishielu,,,,,
Ivo,,,,,
Izzi,87.7,,,,
Ohaozara,,,,,
Ohaukwu,87.7,,,,
Onicha,,,,,
Akoko-Edo,,,,,
Egor,,,,,
Esan Central,,,,,
Esan North-East,,,,,
Esan South-East,,,,,
Esan West,,,,,
Etsako Central,,,,,
Etsako East,,,,,
Etsako West,,,,,
Igueben,,,,,
Ikpoba Okha,,,,,
Orhionmwon,,,,,
Oredo,,,,,
Ovia North-East,,,,,
Ovia South-West,,,,,
Owan East,,,,,
Owan West,,,,,
Uhunmwonde,,,,,
Ado Ekiti,,,,,
Efon,,,,,
Ekiti East,,,,,
Ekiti South-West,,,,,
Ekiti West,,,,,
Emure,,,,,
Gbonyin,,,,,
Ido Osi,,,,,
Ijero,,,,,
Ikere,,,,,
Ikole,,,,,
Ilejemeje,,,,,
Irepodun/Ifelodun,,75,,,
Ise/Orun,,,,,
Moba,,,,,
Oye,,,,,
Aninri,,,,,
Awgu,,,,,
Enugu East,,,,,
Enugu North,,,,,
Enugu South,,,,,
Ezeagu,,,,,
Igbo Etiti,,,,,
Igbo Eze North,,,,,
Igbo Eze South,,,,,
Isi Uzo,,,,,
Nkanu East,,,,,
Nkanu West,,,,,
Nsukka,,,,,
Oji River,,,,,
Udenu,,,,,
Udi,,,,,
Uzo Uwani,,,,,
Abaji,,,,,
Bwari,,,,,
Gwagwalada,,,,,
Kuje,15.1,46.6,42.2,,
Kwali,,,,,
Municipal Area Council,15.1,46.6,42.2,,
Akko,,,,,
Balanga,,,,,
Billiri,24.1,19.1,,,
Dukku,,,,,
Funakaye,,,,,
Gombe,,,,,
Kaltungo,,,,,
Kwami,,,,,
Nafada,,,,,
Shongom,,,,,
Yamaltu/Deba,,,,,
Aboh Mbaise,,,,,
Ahiazu Mbaise,,,,,
Ehime Mbano,,,,,
Ezinihitte,,,,,
Ideato North,,,,,
Ideato South,,,,,
Ihitte/Uboma,,,,,
Ikeduru,,,,,
Isiala Mbano,,,,,
Isu,,,,,
Mbaitoli,,,,,
Ngor Okpala,,,,,
Njaba,,,,,
Nkwerre,,,,,
Nwangele,,,,,
Obowo,,,,,
Oguta,,,,,
Ohaji/Egbema,,,,,
Okigwe,,,,,
Orlu,43.7,,,,
Orsu,,,,,
Oru East,,,,,
Oru West,,,,,
Owerri Municipal,,,,,
Owerri North,,,,,
Owerri West,,,,,
Unuimo,,,,,
Auyo,,,,,
Babura,,,,,
Biriniwa,,,,,
Birnin Kudu,,,,,
Buji,,,,,
Dutse,,,,,
